animal	DOB	sex	study	DateStudy	Age	Rearing2	RawScore	AdjScore	SLBinary	Context	Task	TotalExp	Participated	CurExp	Rearing	ID	Age group
ENIGA 10245	31167	F	9	01/04/2005	19	M	NA	NA	0	Group	Tool	2	0	0	M	ENIGA 10245	3
GAGE 7153	36950	M	9	01/04/2005	4	M	1	0.5	1	Group	Tool	6	1	1	M	GAGE 7153	1
GAYGOS 5787	33551	M	9	01/04/2005	13	N	NA	NA	0	Group	Tool	5	0	0	N	GAYGOS 5787	2
GERTRUDE 2201	24838	F	9	01/04/2005	37	M	NA	NA	0	Group	Tool	6	0	0	W	GERTRUDE 2201	4
GIGI 1732	22647	F	9	01/04/2005	43	M	NA	NA	0	Group	Tool	5	0	0	W	GIGI 1732	4
GIMP 9696	25204	M	9	01/04/2005	36	M	NA	NA	0	Group	Tool	5	0	0	W	GIMP 9696	4
GISOKI 4746	30607	M	9	01/04/2005	21	M	NA	NA	0	Group	Tool	2	0	0	M	GISOKI 4746	3
GLENDA 2108	24473	F	9	01/04/2005	38	M	NA	NA	0	Group	Tool	2	0	0	W	GLENDA 2108	4
GRACIE 5867	33851	F	9	01/04/2005	12	N	NA	NA	0	Group	Tool	3	0	0	N	GRACIE 5867	2
GREMLIN 2601	25934	M	9	01/04/2005	34	M	NA	NA	0	Group	Tool	2	0	0	W	GREMLIN 2601	4
HAAKID 5797	33602	M	9	01/04/2005	13	M	NA	NA	0	Group	Tool	4	0	0	M	HAAKID 5797	2
HANNAH 5691	33219	F	9	01/04/2005	14	M	NA	NA	0	Group	Tool	6	0	0	M	HANNAH 5691	2
HAPPY 3741	28124	F	9	01/04/2005	28	U	NA	NA	0	Group	Tool	0	0	0	U	HAPPY 3741	3
HAPPY P 1407	22647	F	9	01/04/2005	43	M	NA	NA	0	Group	Tool	0	0	0	W	HAPPY P 1407	4
HELGA 2006	24108	F	9	01/04/2005	39	M	NA	NA	0	Group	Tool	4	0	0	W	HELGA 2006	4
HENRYET 2602	26299	F	9	01/04/2005	33	M	NA	NA	0	Group	Tool	0	0	0	W	HENRYET 2602	3
HOBBES 5659	33071	M	9	01/04/2005	14	N	NA	NA	0	Group	Tool	5	0	0	N	HOBBES 5659	2
HODARI 5941	34061	F	9	01/04/2005	12	M	NA	NA	0	Group	Tool	5	0	0	M	HODARI 5941	2
HUEY 5687	33189	M	9	01/04/2005	14	M	0	-0.5	0	Group	Tool	4	1	1	M	HUEY 5687	2
HUG 6377	35748	F	9	01/04/2005	7	M	NA	NA	0	Group	Tool	1	0	0	M	HUG 6377	1
HUHKALIG 4703	30395	M	9	01/04/2005	22	M	NA	NA	0	Group	Tool	4	0	0	M	HUHKALIG 4703	3
HUHNI 6046	34562	M	9	01/04/2005	10	M	NA	NA	0	Group	Tool	2	0	0	M	HUHNI 6046	2
IDANI 5048	30893	F	9	01/04/2005	20	M	NA	NA	0	Group	Tool	2	0	0	M	IDANI 5048	3
INDIA 5276	31729	F	9	01/04/2005	18	N	NA	NA	0	Group	Tool	1	0	0	N	INDIA 5276	3
IRIS 5835	33732	F	9	01/04/2005	12	N	NA	NA	0	Group	Tool	0	0	0	N	IRIS 5835	2
JAKE 5658	33045	M	9	01/04/2005	14	M	NA	NA	0	Group	Tool	2	0	0	M	JAKE 5658	2
JANA 5430	32218	F	9	01/04/2005	17	M	NA	NA	0	Group	Tool	4	0	0	M	JANA 5430	3
JANE 2830	25934	F	9	01/04/2005	34	M	NA	NA	0	Group	Tool	6	0	0	W	JANE 2830	4
JAYME 4047	28997	F	9	01/04/2005	25	N	NA	NA	0	Group	Tool	0	0	0	N	JAYME 4047	3
JESSIE 5905	33988	F	9	01/04/2005	12	M	NA	NA	0	Group	Tool	5	0	0	M	JESSIE 5905	2
JOEY 3033	26299	M	9	01/04/2005	33	M	NA	NA	0	Group	Tool	6	0	0	W	JOEY 3033	3
JOSIE 5626	32936	F	9	01/04/2005	15	M	NA	NA	0	Group	Tool	5	0	0	M	JOSIE 5626	2
JOYCE 3865	28518	F	9	01/04/2005	27	U	NA	NA	0	Group	Tool	0	0	0	U	JOYCE 3865	3
JUDUMI 5676	33111	M	9	01/04/2005	14	N	NA	NA	0	Group	Tool	6	0	0	N	JUDUMI 5676	2
JUDY 2170	24838	F	9	01/04/2005	37	M	NA	NA	0	Group	Tool	5	0	0	W	JUDY 2170	4
JUNIE 2243	24108	F	9	01/04/2005	39	M	NA	NA	0	Group	Tool	1	0	0	W	JUNIE 2243	4
KAKAICHU 4305	29566	F	9	01/04/2005	24	M	NA	NA	0	Group	Tool	3	0	0	M	KAKAICHU 4305	3
KALIONI 4441	29863	M	9	01/04/2005	23	M	NA	NA	0	Group	Tool	6	0	0	M	KALIONI 4441	3
KAMPANI 5711	33266	F	9	01/04/2005	14	M	NA	NA	0	Group	Tool	1	0	0	M	KAMPANI 5711	2
KAREEM 6880	32512	M	9	01/04/2005	16	U	NA	NA	0	Group	Tool	2	0	0	U	KAREEM 6880	3
KARIN 1422	22647	F	9	01/04/2005	43	M	NA	NA	0	Group	Tool	3	0	0	W	KARIN 1422	4
KAYA 5679	33137	F	9	01/04/2005	14	N	NA	NA	0	Group	Tool	1	0	0	N	KAYA 5679	2
KEHG 4540	30071	M	9	01/04/2005	22	M	NA	NA	0	Group	Tool	3	0	0	M	KEHG 4540	3
KELLEY 2107	24108	F	9	01/04/2005	39	M	1	0.5	1	Group	Tool	5	1	1	W	KELLEY 2107	4
KENO 5753	33402	M	9	01/04/2005	13	N	NA	NA	0	Group	Tool	5	0	0	N	KENO 5753	2
KIA 5377	32035	F	9	01/04/2005	17	M	NA	NA	0	Group	Tool	1	0	0	M	KIA 5377	3
KIHT 5461	32361	F	9	01/04/2005	16	N	NA	NA	0	Group	Tool	5	0	0	N	KIHT 5461	3
KOBI 3020	26299	M	9	01/04/2005	33	M	NA	NA	0	Group	Tool	5	0	0	W	KOBI 3020	3
KROG 5823	33671	M	9	01/04/2005	13	M	NA	NA	0	Group	Tool	1	0	0	M	KROG 5823	2
KUDZU 4639	30292	M	9	01/04/2005	22	M	NA	NA	0	Group	Tool	5	0	0	M	KUDZU 4639	3
KUHTA 4162	29291	M	9	01/04/2005	25	M	NA	NA	0	Group	Tool	5	0	0	M	KUHTA 4162	3
KUKUI 5035	30796	M	9	01/04/2005	20	M	NA	NA	0	Group	Tool	2	0	0	M	KUKUI 5035	3
LACEY 3915	28605	F	9	01/04/2005	26	U	NA	NA	0	Group	Tool	2	0	0	U	LACEY 3915	3
LEXUS 6396	35849	F	9	01/04/2005	7	M	1	0.5	1	Group	Tool	6	1	1	M	LEXUS 6396	1
LULU 4510	29967	F	9	01/04/2005	23	M	NA	NA	0	Group	Tool	5	0	0	M	LULU 4510	3
LYLE 6427	36106	M	9	01/04/2005	6	M	NA	NA	0	Group	Tool	6	0	0	M	LYLE 6427	1
MAE 2242	23743	F	9	01/04/2005	40	M	NA	NA	0	Group	Tool	3	0	0	W	MAE 2242	4
MAGIC 5855	33809	M	9	01/04/2005	12	M	NA	NA	0	Group	Tool	7	0	0	M	MAGIC 5855	2
MAHI 5650	33034	F	9	01/04/2005	14	M	NA	NA	0	Group	Tool	3	0	0	M	MAHI 5650	2
MAHSHO 5480	32442	M	9	01/04/2005	16	M	NA	NA	0	Group	Tool	5	0	0	M	MAHSHO 5480	3
MAISHPA 4520	30007	F	9	01/04/2005	23	N	NA	NA	0	Group	Tool	4	0	0	N	MAISHPA 4520	3
MANDY 5062	30933	F	9	01/04/2005	20	M	NA	NA	0	Group	Tool	6	0	0	M	MANDY 5062	3
MARCUS 5789	33560	M	9	01/04/2005	13	M	NA	NA	0	Group	Tool	3	0	0	M	MARCUS 5789	2
MARTHA 2429	24108	F	9	01/04/2005	39	M	1	0.5	1	Group	Tool	9	1	1	W	MARTHA 2429	4
MARTIN 5883	33959	M	9	01/04/2005	12	M	1	0.5	1	Group	Tool	6	1	1	M	MARTIN 5883	2
MARY 1855	23743	F	9	01/04/2005	40	M	NA	NA	0	Group	Tool	7	0	0	W	MARY 1855	4
MAXI 5360	31978	F	9	01/04/2005	17	N	NA	NA	0	Group	Tool	3	0	0	N	MAXI 5360	3
MAYNARD 2200	26299	M	9	01/04/2005	33	M	NA	NA	0	Group	Tool	9	0	0	W	MAYNARD 2200	3
MICHON 4648	30314	F	9	01/04/2005	22	M	NA	NA	0	Group	Tool	6	0	0	M	MICHON 4648	3
MILONI 5050	30940	F	9	01/04/2005	20	M	NA	NA	0	Group	Tool	1	0	0	M	MILONI 5050	3
MISCHINI 5301	31778	F	9	01/04/2005	18	M	NA	NA	0	Group	Tool	1	0	0	M	MISCHINI 5301	3
MISTY 5042	30850	F	9	01/04/2005	20	U	NA	NA	0	Group	Tool	3	0	0	U	MISTY 5042	3
MONIQUE 5769	33480	F	9	01/04/2005	13	M	NA	NA	0	Group	Tool	4	0	0	M	MONIQUE 5769	2
MOOSE 2045	25569	M	9	01/04/2005	35	M	NA	NA	0	Group	Tool	10	0	0	W	MOOSE 2045	4
MUFFIN 4345	29676	F	9	01/04/2005	24	M	1	0.5	1	Group	Tool	5	1	1	M	MUFFIN 4345	3
NAHAGIO 4532	30037	F	9	01/04/2005	23	M	NA	NA	0	Group	Tool	3	0	0	M	NAHAGIO 4532	3
NAHJA 5664	33058	F	9	01/04/2005	14	N	NA	NA	0	Group	Tool	6	0	0	N	NAHJA 5664	2
NAHKO 5295	31731	M	9	01/04/2005	18	M	NA	NA	0	Group	Tool	2	0	0	M	NAHKO 5295	3
NICK 5432	32240	M	9	01/04/2005	16	M	NA	NA	0	Group	Tool	7	0	0	M	NICK 5432	3
NINA 4760	30654	F	9	01/04/2005	21	M	NA	NA	0	Group	Tool	4	0	0	M	NINA 4760	3
NOWI 4716	30448	M	9	01/04/2005	21	M	NA	NA	0	Group	Tool	4	0	0	M	NOWI 4716	3
OKI 5080	30999	F	9	01/04/2005	20	M	NA	NA	0	Group	Tool	4	0	0	M	OKI 5080	3
OREO 5315	31804	F	9	01/04/2005	18	N	NA	NA	0	Group	Tool	2	0	0	N	OREO 5315	3
OSCAR 5563	32702	M	9	01/04/2005	15	N	NA	NA	0	Group	Tool	3	0	0	N	OSCAR 5563	2
PACER 2957	25934	M	9	01/04/2005	34	M	NA	NA	0	Group	Tool	2	0	0	W	PACER 2957	4
PAHSTIHL 5221	31467	F	9	01/04/2005	19	N	NA	NA	0	Group	Tool	2	0	0	N	PAHSTIHL 5221	3
PATTI 2371	25204	F	9	01/04/2005	36	M	NA	NA	0	Group	Tool	2	0	0	W	PATTI 2371	4
PECOS 5421	32201	M	9	01/04/2005	17	M	1	0.5	1	Group	Tool	5	1	1	M	PECOS 5421	3
PEHGIA 5047	30860	F	9	01/04/2005	20	M	NA	NA	0	Group	Tool	1	0	0	M	PEHGIA 5047	3
PEPPER 2106	24473	F	9	01/04/2005	38	M	NA	NA	0	Group	Tool	9	0	0	W	PEPPER 2106	4
PERRY 1549	23012	M	9	01/04/2005	42	M	NA	NA	0	Group	Tool	2	0	0	W	PERRY 1549	4
PIERRE 1844	22647	M	9	01/04/2005	43	M	0	-0.5	0	Group	Tool	4	1	1	W	PIERRE 1844	4
PIMACH 5873	33936	M	9	01/04/2005	12	M	NA	NA	0	Group	Tool	4	0	0	M	PIMACH 5873	2
PIPLIN 6035	34484	M	9	01/04/2005	10	M	NA	NA	0	Group	Tool	2	0	0	M	PIPLIN 6035	2
POLLY 1756	24838	F	9	01/04/2005	37	M	NA	NA	0	Group	Tool	6	0	0	W	POLLY 1756	4
PRISSY 2430	24838	F	9	01/04/2005	37	M	NA	NA	0	Group	Tool	4	0	0	W	PRISSY 2430	4
PUNCH 4647	30313	M	9	01/04/2005	22	M	NA	NA	0	Group	Tool	6	0	0	M	PUNCH 4647	3
QUINCY 2721	25934	F	9	01/04/2005	34	M	NA	NA	0	Group	Tool	6	0	0	W	QUINCY 2721	4
RADAR 5608	32887	M	9	01/04/2005	15	M	NA	NA	0	Group	Tool	7	0	0	M	RADAR 5608	2
REEUH 5294	31714	M	9	01/04/2005	18	M	NA	NA	0	Group	Tool	1	0	0	M	REEUH 5294	3
RHODA 1841	23012	F	9	01/04/2005	42	M	NA	NA	0	Group	Tool	2	0	0	W	RHODA 1841	4
ROGER 2246	25569	M	9	01/04/2005	35	M	NA	NA	0	Group	Tool	0	0	0	W	ROGER 2246	4
ROSIE 3459	27390	F	9	01/04/2005	30	U	NA	NA	0	Group	Tool	4	0	0	U	ROSIE 3459	3
ROXANNE 5681	33143	F	9	01/04/2005	14	M	NA	NA	0	Group	Tool	0	0	0	M	ROXANNE 5681	2
RUSTY 6176	34989	M	9	01/04/2005	9	M	NA	NA	0	Group	Tool	3	0	0	M	RUSTY 6176	2
SABRINA 2167	24838	F	9	01/04/2005	37	M	NA	NA	0	Group	Tool	3	0	0	W	SABRINA 2167	4
SAHBA 5666	33063	F	9	01/04/2005	14	M	NA	NA	0	Group	Tool	4	0	0	M	SAHBA 5666	2
SAMSON 5063	30939	M	9	01/04/2005	20	M	NA	NA	0	Group	Tool	5	0	0	M	SAMSON 5063	3
SANDY 3153	26299	F	9	01/04/2005	33	M	NA	NA	0	Group	Tool	7	0	0	W	SANDY 3153	3
SHAHEE 5645	33016	M	9	01/04/2005	14	M	NA	NA	0	Group	Tool	6	0	0	M	SHAHEE 5645	2
SIMBA 2724	25934	M	9	01/04/2005	34	M	NA	NA	0	Group	Tool	3	0	0	W	SIMBA 2724	4
SKEETER 3823	36330	M	9	01/04/2005	5	U	NA	NA	0	Group	Tool	4	0	0	U	SKEETER 3823	1
SIMON 2113	24838	M	9	01/04/2005	37	M	NA	NA	0	Group	Tool	4	0	0	W	SIMON 2113	4
SINDEE 6496	36330	F	9	01/04/2005	5	M	NA	NA	0	Group	Tool	6	0	0	M	SINDEE 6496	1
SOPHIE 5442	32289	F	9	01/04/2005	16	M	1	0.5	1	Group	Tool	6	1	1	M	SOPHIE 5442	3
SPARKY 5492	32479	M	9	01/04/2005	16	N	NA	NA	0	Group	Tool	0	0	0	N	SPARKY 5492	3
STAUN 5036	30829	M	9	01/04/2005	20	M	NA	NA	0	Group	Tool	3	0	0	M	STAUN 5036	3
SUHNA 5647	33028	F	9	01/04/2005	14	M	NA	NA	0	Group	Tool	3	0	0	M	SUHNA 5647	2
TABU 9703	33475	M	9	01/04/2005	13	M	NA	NA	0	Group	Tool	2	0	0	M	TABU 9703	2
TAFFY 9713	36396	F	9	01/04/2005	5	M	NA	NA	0	Group	Tool	0	0	0	M	TAFFY 9713	1
TAHMIA 5565	32704	F	9	01/04/2005	15	M	NA	NA	0	Group	Tool	1	0	0	M	TAHMIA 5565	2
TAMBLO 5695	33230	M	9	01/04/2005	14	M	NA	NA	0	Group	Tool	1	0	0	M	TAMBLO 5695	2
TANG 2169	24838	F	9	01/04/2005	37	M	NA	NA	0	Group	Tool	3	0	0	W	TANG 2169	4
TANYA 2354	25204	F	9	01/04/2005	36	M	NA	NA	0	Group	Tool	0	0	0	W	TANYA 2354	4
TASHA 5871	33926	F	9	01/04/2005	12	M	NA	NA	0	Group	Tool	7	0	0	M	TASHA 5871	2
TINA 5210	31436	F	9	01/04/2005	19	M	1	0.5	1	Group	Tool	6	1	1	M	TINA 5210	3
TINKER 4751	30619	M	9	01/04/2005	21	U	1	0.5	1	Group	Tool	3	1	1	U	TINKER 4751	3
TODY 2720	25934	F	9	01/04/2005	34	M	NA	NA	0	Group	Tool	0	0	0	W	TODY 2720	4
TOHBI 5556	32673	M	9	01/04/2005	15	M	NA	NA	0	Group	Tool	2	0	0	M	TOHBI 5556	2
TONY 5651	33044	M	9	01/04/2005	14	U	NA	NA	0	Group	Tool	2	0	0	U	TONY 5651	2
TOTONI 6007	34363	M	9	01/04/2005	11	M	NA	NA	0	Group	Tool	2	0	0	M	TOTONI 6007	2
TRACEY 5300	31778	F	9	01/04/2005	18	N	NA	NA	0	Group	Tool	2	0	0	N	TRACEY 5300	3
TULIK 4206	29342	F	9	01/04/2005	24	M	NA	NA	0	Group	Tool	6	0	0	M	TULIK 4206	3
VERANA 2431	25204	F	9	01/04/2005	36	M	NA	NA	0	Group	Tool	4	0	0	W	VERANA 2431	4
URSULA 1719	23377	F	9	01/04/2005	41	M	NA	NA	0	Group	Tool	4	0	0	W	URSULA 1719	4
WOTONI 4562	30115	F	9	01/04/2005	22	M	NA	NA	0	Group	Tool	0	0	0	M	WOTONI 4562	3
XENA 6487	36229	F	9	01/04/2005	6	M	NA	NA	0	Group	Tool	3	0	0	M	XENA 6487	1
ZIPPY 2537	25934	M	9	01/04/2005	34	M	NA	NA	0	Group	Tool	3	0	0	W	ZIPPY 2537	4
ZOE 10254	37359	F	9	01/04/2005	2	M	0	-0.5	0	Group	Tool	8	1	1	M	ZOE 10254	1
ABBEY 2105	32955	F	10	01/05/2006	16	M	NA	NA	0	Video	Box	2	0	0	W	ABBEY 2105	3
ADONIS 3521	27434	M	10	01/05/2006	31	M	NA	NA	0	Video	Box	4	0	4	M	ADONIS 3521	3
AHNI 6104	34721	F	10	01/05/2006	11	M	1	0.25	1	Video	Box	4	1	1	M	AHNI 6104	2
AJAX 3912	28491	M	10	01/05/2006	28	U	NA	NA	0	Video	Box	6	0	6	U	AJAX 3912	3
AKIMEL 4152	29260	M	10	01/05/2006	26	N	NA	NA	0	Video	Box	6	0	0	N	AKIMEL 4152	3
ALEX 5188	31412	M	10	01/05/2006	20	M	NA	NA	0	Video	Box	6	0	1	M	ALEX 5188	3
ALLIE 5540	32622	F	10	01/05/2006	17	N	NA	NA	0	Video	Box	0	0	0	N	ALLIE 5540	3
ALPHA 5066	30994	F	10	01/05/2006	21	M	NA	NA	0	Video	Box	7	0	1	M	ALPHA 5066	3
ANGIE 3462	27395	F	10	01/05/2006	31	M	NA	NA	0	Video	Box	5	0	0	W	ANGIE 3462	3
ARMOND 9728	31720	M	10	01/05/2006	19	U	NA	NA	0	Video	Box	5	0	5	U	ARMOND 9728	3
APRIL 420	29341	F	10	01/05/2006	26	M	NA	NA	0	Video	Box	4	0	0	M	APRIL 420	3
AUSTIN 5803	33608	M	10	01/05/2006	14	M	NA	NA	0	Video	Box	5	0	0	M	AUSTIN 5803	2
BAHN 4523	30012	M	10	01/05/2006	24	M	1	0.25	1	Video	Box	3	1	1	M	BAHN 4523	3
BART 5630	32955	M	10	01/05/2006	16	N	1	0.25	1	Video	Box	2	1	2	N	BART 5630	3
BASHFUL 1768	24108	F	10	01/05/2006	40	M	NA	NA	0	Video	Box	1	0	0	W	BASHFUL 1768	4
BECCA 5717	33280	F	10	01/05/2006	15	N	1	0.25	1	Video	Box	5	1	2	N	BECCA 5717	2
BERNADETTE 3867	28539	F	10	01/05/2006	28	N	1	0.25	1	Video	Box	8	1	1	N	BERNADETTE 3867	3
BERNIE 1929	24473	F	10	01/05/2006	39	M	NA	NA	0	Video	Box	3	0	1	W	BERNIE 1929	4
BETA 6039	34508	F	10	01/05/2006	11	M	NA	NA	0	Video	Box	5	0	0	M	BETA 6039	2
BETSY 1856	23743	F	10	01/05/2006	41	M	NA	NA	0	Video	Box	3	0	1	W	BETSY 1856	4
BETTY 3440	27277	F	10	01/05/2006	31	M	NA	NA	0	Video	Box	7	0	1	M	BETTY 3440	3
BILLY 5957	34136	M	10	01/05/2006	12	M	NA	NA	0	Video	Box	6	0	0	M	BILLY 5957	2
BISCHK 5180	31388	F	10	01/05/2006	20	M	NA	NA	0	Video	Box	1	0	0	M	BISCHK 5180	3
BO 5951	34105	M	10	01/05/2006	12	M	NA	NA	0	Video	Box	5	0	0	M	BO 5951	2
BRENDA 2768	26299	F	10	01/05/2006	34	M	NA	NA	0	Video	Box	4	0	4	W	BRENDA 2768	4
BRIA 6167	34942	F	10	01/05/2006	10	M	NA	NA	0	Video	Box	6	0	4	M	BRIA 6167	2
BRUCE 3402	27365	M	10	01/05/2006	31	U	NA	NA	0	Video	Box	0	0	0	U	BRUCE 3402	3
CASSIE 5555	32662	F	10	01/05/2006	16	M	NA	NA	0	Video	Box	6	0	0	M	CASSIE 5555	3
CATHERINE 4015	28897	F	10	01/05/2006	27	M	NA	NA	0	Video	Box	1	0	0	M	CATHERINE 4015	3
CECELIA 5721	33293	F	10	01/05/2006	15	M	NA	NA	0	Video	Box	9	0	1	M	CECELIA 5721	2
CESAR 5383	32064	M	10	01/05/2006	18	N	NA	NA	0	Video	Box	0	0	0	N	CESAR 5383	3
CHECHEKUL 4544	30074	F	10	01/05/2006	24	N	NA	NA	0	Video	Box	0	0	0	N	CHECHEKUL 4544	3
CHEOPI 6493	33216	F	10	01/05/2006	15	N	NA	NA	0	Video	Box	5	0	0	N	CHEOPI 6493	2
CHESTER 6208	35097	M	10	01/05/2006	10	M	NA	NA	0	Video	Box	6	0	0	M	CHESTER 6208	2
CHINOOK 5465	32380	M	10	01/05/2006	17	U	NA	NA	0	Video	Box	7	0	5	U	CHINOOK 5465	3
CHRISSY 2525	25563	F	10	01/05/2006	36	M	NA	NA	0	Video	Box	2	0	0	M	CHRISSY 2525	4
CHUHIA 4244	29478	F	10	01/05/2006	25	M	0	-0.75	0	Video	Box	2	1	1	M	CHUHIA 4244	3
COCO 5061	30914	F	10	01/05/2006	21	M	NA	NA	0	Video	Box	3	0	0	M	COCO 5061	3
CODY 5618	32909	M	10	01/05/2006	16	M	NA	NA	0	Video	Box	3	0	0	M	CODY 5618	3
CORDOVA 2763	26299	M	10	01/05/2006	34	M	NA	NA	0	Video	Box	2	0	0	W	CORDOVA 2763	4
CYBILL 6182	35030	F	10	01/05/2006	10	M	NA	NA	0	Video	Box	0	0	0	M	CYBILL 6182	2
DAHPI 5130	31262	F	10	01/05/2006	20	M	NA	NA	0	Video	Box	2	0	0	M	DAHPI 5130	3
DODA 4654	30336	F	10	01/05/2006	23	N	NA	NA	0	Video	Box	3	0	0	N	DODA 4654	3
DOYLE 4721	30458	M	10	01/05/2006	22	M	NA	NA	0	Video	Box	5	0	1	M	DOYLE 4721	3
EESHA 5229	31492	F	10	01/05/2006	20	N	NA	NA	0	Video	Box	0	0	0	N	EESHA 5229	3
EHSTO 6174	34978	M	10	01/05/2006	10	M	1	0.25	1	Video	Box	4	1	1	M	EHSTO 6174	2
EMILY 5073	31006	F	10	01/05/2006	21	M	NA	NA	0	Video	Box	6	0	0	M	EMILY 5073	3
ENIGA 10245	31167	F	10	01/05/2006	21	M	NA	NA	0	Video	Box	2	0	0	M	ENIGA 10245	3
GAGE 7153	36950	M	10	01/05/2006	5	M	NA	NA	0	Video	Box	6	0	1	M	GAGE 7153	1
GAYGOS 5787	33551	M	10	01/05/2006	14	N	1	0.25	1	Video	Box	5	1	1	N	GAYGOS 5787	2
GERTRUDE 2201	24838	F	10	01/05/2006	38	M	NA	NA	0	Video	Box	6	0	1	W	GERTRUDE 2201	4
GIGI 1732	22647	F	10	01/05/2006	44	M	NA	NA	0	Video	Box	5	0	4	W	GIGI 1732	4
GIMP 9696	25204	M	10	01/05/2006	37	M	NA	NA	0	Video	Box	5	0	4	W	GIMP 9696	4
GISOKI 4746	30607	M	10	01/05/2006	22	M	NA	NA	0	Video	Box	2	0	0	M	GISOKI 4746	3
GLENDA 2108	24473	F	10	01/05/2006	39	M	NA	NA	0	Video	Box	2	0	0	W	GLENDA 2108	4
GRACIE 5867	33851	F	10	01/05/2006	13	N	NA	NA	0	Video	Box	3	0	0	N	GRACIE 5867	2
GREMLIN 2601	25934	M	10	01/05/2006	35	M	NA	NA	0	Video	Box	2	0	0	W	GREMLIN 2601	4
HAAKID 5797	33602	M	10	01/05/2006	14	M	NA	NA	0	Video	Box	4	0	0	M	HAAKID 5797	2
HANNAH 5691	33219	F	10	01/05/2006	15	M	NA	NA	0	Video	Box	6	0	0	M	HANNAH 5691	2
HAPPY 3741	28124	F	10	01/05/2006	29	U	NA	NA	0	Video	Box	0	0	0	U	HAPPY 3741	3
HAPPY P 1407	22647	F	10	01/05/2006	44	M	NA	NA	0	Video	Box	0	0	0	W	HAPPY P 1407	4
HELGA 2006	24108	F	10	01/05/2006	40	M	NA	NA	0	Video	Box	4	0	0	W	HELGA 2006	4
HENRYET 2602	26299	F	10	01/05/2006	34	M	NA	NA	0	Video	Box	0	0	0	W	HENRYET 2602	4
HOBBES 5659	33071	M	10	01/05/2006	15	N	0	-0.75	0	Video	Box	5	1	2	N	HOBBES 5659	2
HODARI 5941	34061	F	10	01/05/2006	13	M	NA	NA	0	Video	Box	5	0	0	M	HODARI 5941	2
HUEY 5687	33189	M	10	01/05/2006	15	M	NA	NA	0	Video	Box	4	0	1	M	HUEY 5687	2
HUG 6377	35748	F	10	01/05/2006	8	M	NA	NA	0	Video	Box	1	0	0	M	HUG 6377	2
HUHKALIG 4703	30395	M	10	01/05/2006	23	M	0.6666667	-0.0833333	1	Video	Box	4	1	1	M	HUHKALIG 4703	3
HUHNI 6046	34562	M	10	01/05/2006	11	M	NA	NA	0	Video	Box	2	0	0	M	HUHNI 6046	2
IDANI 5048	30893	F	10	01/05/2006	21	M	NA	NA	0	Video	Box	2	0	0	M	IDANI 5048	3
INDIA 5276	31729	F	10	01/05/2006	19	N	NA	NA	0	Video	Box	1	0	1	N	INDIA 5276	3
IRIS 5835	33732	F	10	01/05/2006	13	N	NA	NA	0	Video	Box	0	0	0	N	IRIS 5835	2
JAKE 5658	33045	M	10	01/05/2006	15	M	NA	NA	0	Video	Box	2	0	0	M	JAKE 5658	2
JANA 5430	32218	F	10	01/05/2006	18	M	NA	NA	0	Video	Box	4	0	0	M	JANA 5430	3
JANE 2830	25934	F	10	01/05/2006	35	M	NA	NA	0	Video	Box	6	0	0	W	JANE 2830	4
JAYME 4047	28997	F	10	01/05/2006	26	N	NA	NA	0	Video	Box	0	0	0	N	JAYME 4047	3
JESSIE 5905	33988	F	10	01/05/2006	13	M	0.333333	-0.416667	1	Video	Box	5	1	1	M	JESSIE 5905	2
JOEY 3033	26299	M	10	01/05/2006	34	M	NA	NA	0	Video	Box	6	0	2	W	JOEY 3033	4
JOSIE 5626	32936	F	10	01/05/2006	16	M	NA	NA	0	Video	Box	5	0	0	M	JOSIE 5626	3
JOYCE 3865	28518	F	10	01/05/2006	28	U	NA	NA	0	Video	Box	0	0	0	U	JOYCE 3865	3
JUDUMI 5676	33111	M	10	01/05/2006	15	N	0.6666667	-0.0833333	1	Video	Box	6	1	1	N	JUDUMI 5676	2
JUDY 2170	24838	F	10	01/05/2006	38	M	NA	NA	0	Video	Box	5	0	1	W	JUDY 2170	4
JUNIE 2243	24108	F	10	01/05/2006	40	M	NA	NA	0	Video	Box	1	0	0	W	JUNIE 2243	4
KAKAICHU 4305	29566	F	10	01/05/2006	25	M	NA	NA	0	Video	Box	3	0	0	M	KAKAICHU 4305	3
KALIONI 4441	29863	M	10	01/05/2006	24	M	1	0.25	1	Video	Box	6	1	1	M	KALIONI 4441	3
KAMPANI 5711	33266	F	10	01/05/2006	15	M	NA	NA	0	Video	Box	1	0	0	M	KAMPANI 5711	2
KAREEM 6880	32512	M	10	01/05/2006	17	U	NA	NA	0	Video	Box	2	0	2	U	KAREEM 6880	3
KARIN 1422	22647	F	10	01/05/2006	44	M	NA	NA	0	Video	Box	3	0	1	W	KARIN 1422	4
KAYA 5679	33137	F	10	01/05/2006	15	N	NA	NA	0	Video	Box	1	0	0	N	KAYA 5679	2
KEHG 4540	30071	M	10	01/05/2006	24	M	NA	NA	0	Video	Box	3	0	0	M	KEHG 4540	3
KELLEY 2107	24108	F	10	01/05/2006	40	M	NA	NA	0	Video	Box	5	0	2	W	KELLEY 2107	4
KENO 5753	33402	M	10	01/05/2006	14	N	1	0.25	1	Video	Box	5	1	2	N	KENO 5753	2
KIA 5377	32035	F	10	01/05/2006	18	M	NA	NA	0	Video	Box	1	0	0	M	KIA 5377	3
